Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,TotalPrice,Year,Month,DayOfWeek,HourOfDay,ExchangeRateDate,GBP_to_USD_Rate,GBP_to_EUR_Rate,TotalPrice_USD,TotalPrice_EUR
581483,23843,"PAPER CRAFT , LITTLE BIRDIE",80995,2011-12-09 09:15:00,2.08,16446,United Kingdom,168469.6,2011,12,Friday,9,2025-08-27,1.25,1.15,210587.0,193740.04
541431,23166,MEDIUM CERAMIC TOP STORAGE JAR,74215,2011-01-18 10:01:00,1.04,12346,United Kingdom,77183.6,2011,1,Tuesday,10,2025-08-27,1.25,1.15,96479.5,88761.14
556444,22502,PICNIC BASKET WICKER 60 PIECES,60,2011-06-10 15:28:00,649.5,15098,United Kingdom,38970.0,2011,6,Friday,15,2025-08-27,1.25,1.15,48712.5,44815.5
530715,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,9360,2010-11-04 11:36:00,1.69,15838,United Kingdom,15818.4,2010,11,Thursday,11,2025-08-27,1.25,1.15,19773.0,18191.16
511465,15044A,PINK PAPER PARASOL ,3500,2010-06-08 12:59:00,2.55,18008,United Kingdom,8925.0,2010,6,Tuesday,12,2025-08-27,1.25,1.15,11156.25,10263.75
567423,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,1412,2011-09-20 11:05:00,5.06,17450,United Kingdom,7144.72,2011,9,Tuesday,11,2025-08-27,1.25,1.15,8930.9,8216.43
540815,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,3114,2011-01-11 12:55:00,2.1,15749,United Kingdom,6539.4,2011,1,Tuesday,12,2025-08-27,1.25,1.15,8174.25,7520.31
550461,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,3114,2011-04-18 13:20:00,2.1,15749,United Kingdom,6539.4,2011,4,Monday,13,2025-08-27,1.25,1.15,8174.25,7520.31
525968,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,3120,2010-10-08 10:10:00,1.66,15838,United Kingdom,5179.2,2010,10,Friday,10,2025-08-27,1.25,1.15,6474.0,5956.08
573003,23084,RABBIT NIGHT LIGHT,2400,2011-10-27 12:11:00,2.08,14646,Netherlands,4992.0,2011,10,Thursday,12,2025-08-27,1.25,1.15,6240.0,5740.8
540815,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1930,2011-01-11 12:55:00,2.55,15749,United Kingdom,4921.5,2011,1,Tuesday,12,2025-08-27,1.25,1.15,6151.88,5659.72
550461,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1930,2011-04-18 13:20:00,2.4,15749,United Kingdom,4632.0,2011,4,Monday,13,2025-08-27,1.25,1.15,5790.0,5326.8
540818,48185,DOORMAT FAIRY CAKE,670,2011-01-11 12:57:00,6.75,15749,United Kingdom,4522.5,2011,1,Tuesday,12,2025-08-27,1.25,1.15,5653.12,5200.88
524181,21622,VINTAGE UNION JACK CUSHION COVER,648,2010-09-27 16:59:00,6.89,17450,United Kingdom,4464.72,2010,9,Monday,16,2025-08-27,1.25,1.15,5580.9,5134.43
558526,23173,REGENCY TEAPOT ROSES ,540,2011-06-30 11:01:00,8.15,17949,United Kingdom,4401.0,2011,6,Thursday,11,2025-08-27,1.25,1.15,5501.25,5061.15
550461,48185,DOORMAT FAIRY CAKE,670,2011-04-18 13:20:00,6.35,15749,United Kingdom,4254.5,2011,4,Monday,13,2025-08-27,1.25,1.15,5318.12,4892.67
532358,84879,ASSORTED COLOUR BIRD ORNAMENT,2880,2010-11-11 17:05:00,1.45,12931,United Kingdom,4176.0,2010,11,Thursday,17,2025-08-27,1.25,1.15,5220.0,4802.4
562439,84879,ASSORTED COLOUR BIRD ORNAMENT,2880,2011-08-04 18:06:00,1.45,12931,United Kingdom,4176.0,2011,8,Thursday,18,2025-08-27,1.25,1.15,5220.0,4802.4
540689,22470,HEART OF WICKER LARGE,1284,2011-01-11 08:43:00,3.21,17450,United Kingdom,4121.64,2011,1,Tuesday,8,2025-08-27,1.25,1.15,5152.05,4739.89
529613,22423,REGENCY CAKESTAND 3 TIER,360,2010-10-29 10:46:00,10.95,17949,United Kingdom,3942.0,2010,10,Friday,10,2025-08-27,1.25,1.15,4927.5,4533.3
526934,22790,"MIRROR, ARCHED GEORGIAN",200,2010-10-14 09:46:00,19.42,18102,United Kingdom,3884.0,2010,10,Thursday,9,2025-08-27,1.25,1.15,4855.0,4466.6
524181,21624,VINTAGE UNION JACK DOORSTOP,648,2010-09-27 16:59:00,5.96,17450,United Kingdom,3862.08,2010,9,Monday,16,2025-08-27,1.25,1.15,4827.6,4441.39
581115,22413,METAL SIGN TAKE IT OR LEAVE IT ,1404,2011-12-07 12:20:00,2.75,15195,United Kingdom,3861.0,2011,12,Wednesday,12,2025-08-27,1.25,1.15,4826.25,4440.15
537659,21623,VINTAGE UNION JACK MEMOBOARD,600,2010-12-07 16:43:00,6.38,18102,United Kingdom,3828.0,2010,12,Tuesday,16,2025-08-27,1.25,1.15,4785.0,4402.2
567423,23113,PANTRY CHOPPING BOARD,756,2011-09-20 11:05:00,5.06,17450,United Kingdom,3825.36,2011,9,Tuesday,11,2025-08-27,1.25,1.15,4781.7,4399.16
537899,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1488,2010-12-09 10:44:00,2.55,12755,Japan,3794.4,2010,12,Thursday,10,2025-08-27,1.25,1.15,4743.0,4363.56
523166,22632,HAND WARMER RED POLKA DOT,2004,2010-09-20 15:33:00,1.85,17940,United Kingdom,3707.4,2010,9,Monday,15,2025-08-27,1.25,1.15,4634.25,4263.51
540815,21175,GIN + TONIC DIET METAL SIGN,2000,2011-01-11 12:55:00,1.85,15749,United Kingdom,3700.0,2011,1,Tuesday,12,2025-08-27,1.25,1.15,4625.0,4255.0
579498,23084,RABBIT NIGHT LIGHT,2040,2011-11-29 15:52:00,1.79,12798,Japan,3651.6,2011,11,Tuesday,15,2025-08-27,1.25,1.15,4564.5,4199.34
497946,85220,SMALL FAIRY CAKE FRIDGE MAGNETS,2504,2010-02-15 11:57:00,1.45,13902,Denmark,3630.8,2010,2,Monday,11,2025-08-27,1.25,1.15,4538.5,4175.42
567423,22722,SET OF 6 SPICE TINS PANTRY DESIGN,852,2011-09-20 11:05:00,4.25,17450,United Kingdom,3621.0,2011,9,Tuesday,11,2025-08-27,1.25,1.15,4526.25,4164.15
524181,21621,VINTAGE UNION JACK BUNTING,408,2010-09-27 16:59:00,8.87,17450,United Kingdom,3618.96,2010,9,Monday,16,2025-08-27,1.25,1.15,4523.7,4161.8
524181,21770,OPEN CLOSED METAL SIGN,684,2010-09-27 16:59:00,5.15,17450,United Kingdom,3522.6,2010,9,Monday,16,2025-08-27,1.25,1.15,4403.25,4050.99
550461,21175,GIN + TONIC DIET METAL SIGN,2000,2011-04-18 13:20:00,1.69,15749,United Kingdom,3380.0,2011,4,Monday,13,2025-08-27,1.25,1.15,4225.0,3887.0
540818,47556B,TEA TIME TEA TOWELS ,1300,2011-01-11 12:57:00,2.55,15749,United Kingdom,3315.0,2011,1,Tuesday,12,2025-08-27,1.25,1.15,4143.75,3812.25
524181,21906,PHARMACIE FIRST AID TIN,464,2010-09-27 16:59:00,7.13,17450,United Kingdom,3308.32,2010,9,Monday,16,2025-08-27,1.25,1.15,4135.4,3804.57
572209,23556,LANDMARK FRAME COVENT GARDEN ,300,2011-10-21 12:08:00,10.95,18102,United Kingdom,3285.0,2011,10,Friday,12,2025-08-27,1.25,1.15,4106.25,3777.75
572209,23554,LANDMARK FRAME OXFORD STREET,300,2011-10-21 12:08:00,10.95,18102,United Kingdom,3285.0,2011,10,Friday,12,2025-08-27,1.25,1.15,4106.25,3777.75
572209,23555,LANDMARK FRAME NOTTING HILL ,300,2011-10-21 12:08:00,10.95,18102,United Kingdom,3285.0,2011,10,Friday,12,2025-08-27,1.25,1.15,4106.25,3777.75
572209,23558,LANDMARK FRAME LONDON BRIDGE ,300,2011-10-21 12:08:00,10.95,18102,United Kingdom,3285.0,2011,10,Friday,12,2025-08-27,1.25,1.15,4106.25,3777.75
572209,23553,LANDMARK FRAME CAMDEN TOWN ,300,2011-10-21 12:08:00,10.95,18102,United Kingdom,3285.0,2011,10,Friday,12,2025-08-27,1.25,1.15,4106.25,3777.75
572209,23557,LANDMARK FRAME BAKER STREET ,300,2011-10-21 12:08:00,10.95,18102,United Kingdom,3285.0,2011,10,Friday,12,2025-08-27,1.25,1.15,4106.25,3777.75
540689,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1010,2011-01-11 08:43:00,3.24,17450,United Kingdom,3272.4,2011,1,Tuesday,8,2025-08-27,1.25,1.15,4090.5,3763.26
581375,21137,BLACK RECORD COVER FRAME,960,2011-12-08 12:36:00,3.39,16210,United Kingdom,3254.4,2011,12,Thursday,12,2025-08-27,1.25,1.15,4068.0,3742.56
543378,21623,VINTAGE UNION JACK MEMOBOARD,504,2011-02-07 15:34:00,6.38,18102,United Kingdom,3215.52,2011,2,Monday,15,2025-08-27,1.25,1.15,4019.4,3697.85
543379,21623,VINTAGE UNION JACK MEMOBOARD,504,2011-02-07 15:37:00,6.38,18102,United Kingdom,3215.52,2011,2,Monday,15,2025-08-27,1.25,1.15,4019.4,3697.85
524181,22357,KINGS CHOICE BISCUIT TIN,704,2010-09-27 16:59:00,4.56,17450,United Kingdom,3210.24,2010,9,Monday,16,2025-08-27,1.25,1.15,4012.8,3691.78
544612,22053,EMPIRE DESIGN ROSETTE,3906,2011-02-22 10:43:00,0.82,18087,United Kingdom,3202.92,2011,2,Tuesday,10,2025-08-27,1.25,1.15,4003.65,3683.36
521315,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,1920,2010-09-03 12:01:00,1.66,15838,United Kingdom,3187.2,2010,9,Friday,12,2025-08-27,1.25,1.15,3984.0,3665.28
574293,85123A,WHITE HANGING HEART T-LIGHT HOLDER,992,2011-11-03 15:32:00,3.2,17450,United Kingdom,3174.4,2011,11,Thursday,15,2025-08-27,1.25,1.15,3968.0,3650.56
567423,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,612,2011-09-20 11:05:00,5.18,17450,United Kingdom,3170.16,2011,9,Tuesday,11,2025-08-27,1.25,1.15,3962.7,3645.68
529350,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,1152,2010-10-28 09:29:00,2.75,17450,United Kingdom,3168.0,2010,10,Thursday,9,2025-08-27,1.25,1.15,3960.0,3643.2
554366,22349,DOG BOWL CHASING BALL DESIGN,756,2011-05-24 10:24:00,4.18,17450,United Kingdom,3160.08,2011,5,Tuesday,10,2025-08-27,1.25,1.15,3950.1,3634.09
561633,23173,REGENCY TEAPOT ROSES ,384,2011-07-28 14:33:00,8.15,17949,United Kingdom,3129.6,2011,7,Thursday,14,2025-08-27,1.25,1.15,3912.0,3599.04
554868,22197,SMALL POPCORN HOLDER,4300,2011-05-27 10:52:00,0.72,13135,United Kingdom,3096.0,2011,5,Friday,10,2025-08-27,1.25,1.15,3870.0,3560.4
567381,22508,DOORSTOP RETROSPOT HEART,744,2011-09-20 10:12:00,4.08,17450,United Kingdom,3035.52,2011,9,Tuesday,10,2025-08-27,1.25,1.15,3794.4,3490.85
538191,22423,REGENCY CAKESTAND 3 TIER,272,2010-12-10 10:49:00,10.95,15061,United Kingdom,2978.4,2010,12,Friday,10,2025-08-27,1.25,1.15,3723.0,3425.16
515281,84078A,SET/4 WHITE RETRO STORAGE CUBES ,85,2010-07-09 13:53:00,34.95,13734,United Kingdom,2970.75,2010,7,Friday,13,2025-08-27,1.25,1.15,3713.44,3416.36
515296,84078A,SET/4 WHITE RETRO STORAGE CUBES ,85,2010-07-09 15:20:00,34.95,13734,United Kingdom,2970.75,2010,7,Friday,15,2025-08-27,1.25,1.15,3713.44,3416.36
567423,22978,PANTRY ROLLING PIN,708,2011-09-20 11:05:00,4.18,17450,United Kingdom,2959.44,2011,9,Tuesday,11,2025-08-27,1.25,1.15,3699.3,3403.36
581457,23543,WALL ART KEEP CALM ,698,2011-12-08 18:43:00,4.15,18102,United Kingdom,2896.7,2011,12,Thursday,18,2025-08-27,1.25,1.15,3620.88,3331.2
537659,82484,WOOD BLACK BOARD ANT WHITE FINISH,600,2010-12-07 16:43:00,4.78,18102,United Kingdom,2868.0,2010,12,Tuesday,16,2025-08-27,1.25,1.15,3585.0,3298.2
498152,85220,SMALL FAIRY CAKE FRIDGE MAGNETS,9456,2010-02-17 10:51:00,0.3,13902,Denmark,2836.8,2010,2,Wednesday,10,2025-08-27,1.25,1.15,3546.0,3262.32
523576,22423,REGENCY CAKESTAND 3 TIER,256,2010-09-22 16:26:00,10.95,13205,United Kingdom,2803.2,2010,9,Wednesday,16,2025-08-27,1.25,1.15,3504.0,3223.68
532582,22423,REGENCY CAKESTAND 3 TIER,256,2010-11-12 14:24:00,10.95,15061,United Kingdom,2803.2,2010,11,Friday,14,2025-08-27,1.25,1.15,3504.0,3223.68
540689,21733,RED HANGING HEART T-LIGHT HOLDER,860,2011-01-11 08:43:00,3.24,17450,United Kingdom,2786.4,2011,1,Tuesday,8,2025-08-27,1.25,1.15,3483.0,3204.36
526934,22763,KEY CABINET MA CAMPAGNE,408,2010-10-14 09:46:00,6.78,18102,United Kingdom,2766.24,2010,10,Thursday,9,2025-08-27,1.25,1.15,3457.8,3181.18
566931,22688,DOORMAT PEACE ON EARTH BLUE,600,2011-09-15 15:27:00,4.58,18102,United Kingdom,2748.0,2011,9,Thursday,15,2025-08-27,1.25,1.15,3435.0,3160.2
550461,47556B,TEA TIME TEA TOWELS ,1300,2011-04-18 13:20:00,2.1,15749,United Kingdom,2730.0,2011,4,Monday,13,2025-08-27,1.25,1.15,3412.5,3139.5
567381,23108,SET OF 10 LED DOLLY LIGHTS,416,2011-09-20 10:12:00,6.5,17450,United Kingdom,2704.0,2011,9,Tuesday,10,2025-08-27,1.25,1.15,3380.0,3109.6
580363,23582,VINTAGE DOILY JUMBO BAG RED ,1500,2011-12-02 16:32:00,1.79,13868,United Kingdom,2685.0,2011,12,Friday,16,2025-08-27,1.25,1.15,3356.25,3087.75
562439,22191,IVORY DINER WALL CLOCK,348,2011-08-04 18:06:00,7.65,12931,United Kingdom,2662.2,2011,8,Thursday,18,2025-08-27,1.25,1.15,3327.75,3061.53
540689,22469,HEART OF WICKER SMALL,1356,2011-01-11 08:43:00,1.93,17450,United Kingdom,2617.08,2011,1,Tuesday,8,2025-08-27,1.25,1.15,3271.35,3009.64
558526,23174,REGENCY SUGAR BOWL GREEN,696,2011-06-30 11:01:00,3.75,17949,United Kingdom,2610.0,2011,6,Thursday,11,2025-08-27,1.25,1.15,3262.5,3001.5
526934,21623,VINTAGE UNION JACK MEMOBOARD,408,2010-10-14 09:46:00,6.38,18102,United Kingdom,2603.04,2010,10,Thursday,9,2025-08-27,1.25,1.15,3253.8,2993.5
531866,21623,VINTAGE UNION JACK MEMOBOARD,408,2010-11-10 11:28:00,6.38,18102,United Kingdom,2603.04,2010,11,Wednesday,11,2025-08-27,1.25,1.15,3253.8,2993.5
537657,21623,VINTAGE UNION JACK MEMOBOARD,408,2010-12-07 16:42:00,6.38,18102,United Kingdom,2603.04,2010,12,Tuesday,16,2025-08-27,1.25,1.15,3253.8,2993.5
574294,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1020,2011-11-03 15:47:00,2.55,16333,United Kingdom,2601.0,2011,11,Thursday,15,2025-08-27,1.25,1.15,3251.25,2991.15
581175,23084,RABBIT NIGHT LIGHT,1440,2011-12-07 15:16:00,1.79,14646,Netherlands,2577.6,2011,12,Wednesday,15,2025-08-27,1.25,1.15,3222.0,2964.24
567381,21485,RETROSPOT HEART HOT WATER BOTTLE,496,2011-09-20 10:12:00,5.1,17450,United Kingdom,2529.6,2011,9,Tuesday,10,2025-08-27,1.25,1.15,3162.0,2909.04
567381,22111,SCOTTIE DOG HOT WATER BOTTLE,496,2011-09-20 10:12:00,5.1,17450,United Kingdom,2529.6,2011,9,Tuesday,10,2025-08-27,1.25,1.15,3162.0,2909.04
502269,21984,PACK OF 12 PINK PAISLEY TISSUES ,10000,2010-03-23 15:36:00,0.25,17940,United Kingdom,2500.0,2010,3,Tuesday,15,2025-08-27,1.25,1.15,3125.0,2875.0
502269,21982,PACK OF 12 SUKI TISSUES ,10000,2010-03-23 15:36:00,0.25,17940,United Kingdom,2500.0,2010,3,Tuesday,15,2025-08-27,1.25,1.15,3125.0,2875.0
502269,21980,PACK OF 12 RED SPOTTY TISSUES ,10000,2010-03-23 15:36:00,0.25,17940,United Kingdom,2500.0,2010,3,Tuesday,15,2025-08-27,1.25,1.15,3125.0,2875.0
502269,21981,PACK OF 12 WOODLAND TISSUES ,10000,2010-03-23 15:36:00,0.25,17940,United Kingdom,2500.0,2010,3,Tuesday,15,2025-08-27,1.25,1.15,3125.0,2875.0
508748,21985,PACK OF 12 HEARTS DESIGN TISSUES ,5000,2010-05-18 11:45:00,0.5,17940,United Kingdom,2500.0,2010,5,Tuesday,11,2025-08-27,1.25,1.15,3125.0,2875.0
508748,21982,PACK OF 12 SUKI TISSUES ,5000,2010-05-18 11:45:00,0.5,17940,United Kingdom,2500.0,2010,5,Tuesday,11,2025-08-27,1.25,1.15,3125.0,2875.0
517391,22423,REGENCY CAKESTAND 3 TIER,228,2010-07-29 09:19:00,10.95,17949,United Kingdom,2496.6,2010,7,Thursday,9,2025-08-27,1.25,1.15,3120.75,2871.09
556725,22783,SET 3 WICKER OVAL BASKETS W LIDS,200,2011-06-14 11:28:00,12.48,18102,United Kingdom,2496.0,2011,6,Tuesday,11,2025-08-27,1.25,1.15,3120.0,2870.4
569084,22941,CHRISTMAS LIGHTS 10 REINDEER,384,2011-09-30 11:56:00,6.5,17949,United Kingdom,2496.0,2011,9,Friday,11,2025-08-27,1.25,1.15,3120.0,2870.4
572209,23485,BOTANICAL GARDENS WALL CLOCK ,120,2011-10-21 12:08:00,20.8,18102,United Kingdom,2496.0,2011,10,Friday,12,2025-08-27,1.25,1.15,3120.0,2870.4
579251,22470,HEART OF WICKER LARGE,760,2011-11-28 16:39:00,3.2,17450,United Kingdom,2432.0,2011,11,Monday,16,2025-08-27,1.25,1.15,3040.0,2796.8
567423,22969,HOMEMADE JAM SCENTED CANDLES,1428,2011-09-20 11:05:00,1.7,17450,United Kingdom,2427.6,2011,9,Tuesday,11,2025-08-27,1.25,1.15,3034.5,2791.74
558554,23245,SET OF 3 REGENCY CAKE TINS,576,2011-06-30 12:50:00,4.15,17949,United Kingdom,2390.4,2011,6,Thursday,12,2025-08-27,1.25,1.15,2988.0,2748.96
554366,22350,ILLUSTRATED CAT BOWL ,888,2011-05-24 10:24:00,2.69,17450,United Kingdom,2388.72,2011,5,Tuesday,10,2025-08-27,1.25,1.15,2985.9,2747.03
490785,85123A,WHITE HANGING HEART T-LIGHT HOLDER,936,2009-12-08 11:23:00,2.55,16029,United Kingdom,2386.8,2009,12,Tuesday,11,2025-08-27,1.25,1.15,2983.5,2744.82
561901,21843,RED RETROSPOT CAKE STAND,216,2011-07-31 15:42:00,10.95,14156,EIRE,2365.2,2011,7,Sunday,15,2025-08-27,1.25,1.15,2956.5,2719.98
537659,22833,HALL CABINET WITH 3 DRAWERS,72,2010-12-07 16:43:00,32.69,18102,United Kingdom,2353.68,2010,12,Tuesday,16,2025-08-27,1.25,1.15,2942.1,2706.73
537659,22189,CREAM HEART CARD HOLDER,1008,2010-12-07 16:43:00,2.31,18102,United Kingdom,2328.48,2010,12,Tuesday,16,2025-08-27,1.25,1.15,2910.6,2677.75
537659,22188,BLACK HEART CARD HOLDER,1008,2010-12-07 16:43:00,2.31,18102,United Kingdom,2328.48,2010,12,Tuesday,16,2025-08-27,1.25,1.15,2910.6,2677.75
